usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_997263cf51,25,2,23,0.08
USER_43023c7877,25,1,24,0.04
USER_b58f1622e4,25,0,25,0.0
USER_f7491fdfd2,25,0,25,0.0
USER_d84db9272a,25,0,25,0.0
USER_0426d44478,25,3,22,0.12
USER_54180213d6,25,0,25,0.0
USER_dbf8d45c4b,25,1,24,0.04
USER_9767633d37,25,0,25,0.0
USER_e4ac00b2b3,25,1,24,0.04
USER_7098147379,25,1,24,0.04
USER_f4822588b6,25,0,25,0.0
USER_ae6546c023,25,0,25,0.0
USER_1dca1155df,25,0,25,0.0
USER_9dc718f313,25,1,24,0.04
USER_0fa46bfe2c,25,0,25,0.0
USER_550bb38420,25,0,25,0.0
USER_c5c5e06b37,25,0,25,0.0
USER_9395fe8da0,25,0,25,0.0
USER_68ba0c5342,25,1,24,0.04
USER_913910c9b8,25,0,25,0.0
USER_cde111922e,25,0,25,0.0
USER_d5794efa05,25,1,24,0.04
USER_5026f82bd5,25,0,25,0.0
USER_eaa1f24386,25,0,25,0.0
USER_30b4934298,25,0,25,0.0
USER_d22432b408,25,0,25,0.0
USER_8c161fdaff,25,0,25,0.0
USER_80b9d2837d,25,0,25,0.0
USER_97c1a13d01,25,1,24,0.04
USER_e21afb4364,25,0,25,0.0
USER_57d922504a,25,0,25,0.0
USER_1e64469975,25,1,24,0.04
USER_5780571b47,25,0,25,0.0
USER_b7b15ffc79,25,0,25,0.0
USER_1b5bfbf683,25,0,25,0.0
USER_3dd21dc73a,25,1,24,0.04
USER_268c66e774,25,0,25,0.0
USER_a84c85c989,25,1,24,0.04
USER_e003973623,25,0,25,0.0
USER_e42a6dcbf1,25,0,25,0.0
USER_05aaa61bf9,25,2,23,0.08
USER_50ec8efe00,25,1,24,0.04
USER_04d6f30818,25,0,25,0.0
USER_edd9dd78b9,25,0,25,0.0
USER_7e3cbf807c,25,1,24,0.04
USER_bfaec8a279,25,0,25,0.0
USER_8af4898e74,25,0,25,0.0
USER_9d72d7789a,25,0,25,0.0
USER_c44b1f50e4,25,3,22,0.12
USER_9218ceca8f,25,1,24,0.04
USER_c54e0694b9,25,0,25,0.0
USER_154071cc7e,25,0,25,0.0
USER_2756fa02eb,25,0,25,0.0
USER_59dbd0d507,25,1,24,0.04
USER_9c816888f0,25,3,22,0.12
USER_90b047b511,25,0,25,0.0
USER_b3328c97b1,25,1,24,0.04
USER_4529d4b740,25,3,22,0.12
USER_2e2ef5169e,25,2,23,0.08
USER_4389f69226,25,0,25,0.0
USER_819bb2816b,25,1,24,0.04
USER_6a53723521,25,0,25,0.0
USER_654bd5ba10,25,0,25,0.0
USER_97720619b3,25,1,24,0.04
USER_328b8883d6,25,1,24,0.04
USER_493137e6de,25,2,23,0.08
USER_0039ca1299,25,1,24,0.04
USER_add70aade6,25,1,24,0.04
USER_3cd2e8c772,25,1,24,0.04
USER_b8597f1548,25,0,25,0.0
USER_b75bf49a5e,25,1,24,0.04
USER_47ace5c9c4,25,3,22,0.12
USER_511ee18719,25,0,25,0.0
USER_fddcf6d573,25,1,24,0.04
USER_f34bdacda3,25,0,25,0.0
USER_b21da4211b,25,1,24,0.04
USER_b8ccd13d36,25,0,25,0.0
USER_01aff47792,25,2,23,0.08
USER_568a736d95,25,1,24,0.04
USER_7bdd7a3236,25,5,20,0.2
USER_d4ed07b80a,25,1,24,0.04
USER_45abb45fa2,25,0,25,0.0
USER_73a2177782,25,0,25,0.0
USER_2784cca2ac,25,0,25,0.0
USER_6779dbeb3b,25,0,25,0.0
USER_56e888d441,25,0,25,0.0
USER_4774235364,25,1,24,0.04
USER_ed856b8e9b,5,1,4,0.2
USER_3d3beda405,25,1,24,0.04
USER_cbf0b48db7,25,1,24,0.04
USER_20f150e27c,25,1,24,0.04
USER_0220cdb940,25,1,24,0.04
USER_f2e6585b76,25,0,25,0.0
USER_49f34cfc1b,25,1,24,0.04
USER_2413bf3812,25,4,21,0.16
USER_3bb0a81d36,25,1,24,0.04
USER_df394d165b,25,1,24,0.04
USER_2a32e66efc,25,0,25,0.0
USER_ed9717192a,25,0,25,0.0
USER_13f672231c,25,1,24,0.04
USER_29aabdc642,25,0,25,0.0
USER_f419d2002d,25,2,23,0.08
USER_1f5b3cb78a,25,2,23,0.08
USER_f04fc5c5cd,25,2,23,0.08
USER_ee3c6f69b5,25,0,25,0.0
USER_72cf8a2eac,25,1,24,0.04
USER_b2bd3b9328,25,1,24,0.04
USER_ff170c102f,25,1,24,0.04
USER_392000f375,25,0,25,0.0
USER_1d0c779237,25,0,25,0.0
USER_09a5be03f1,25,0,25,0.0
USER_77e0234d9a,25,4,21,0.16
USER_c271b6f38a,25,2,23,0.08
USER_8dbcc6ade2,25,0,25,0.0
USER_e4bedfdda9,25,1,24,0.04
USER_c02dda760f,25,1,24,0.04
USER_d6e51efb7a,25,0,25,0.0
USER_16b7534d4c,25,4,21,0.16
USER_fd887a05a1,24,1,23,0.042
USER_9a35652ab9,25,0,25,0.0
USER_7db28ae99b,25,0,25,0.0
USER_ec871dc542,25,1,24,0.04
USER_472ebe2776,25,0,25,0.0
USER_637bed9efc,25,4,21,0.16
USER_885753b190,25,0,25,0.0
USER_7d6c9500f5,25,0,25,0.0
USER_316a4ee879,25,0,25,0.0
USER_75329ba150,25,0,25,0.0
USER_bb8e0e3c23,25,1,24,0.04
USER_68ed26c9b8,25,1,24,0.04
USER_89915b2ff8,25,0,25,0.0
USER_5dfaa2e3f7,25,0,25,0.0
USER_9555b84d4a,25,1,24,0.04
USER_0d090a2c27,25,4,21,0.16
USER_999f6ab8e1,25,0,25,0.0
USER_f15b50eca7,25,0,25,0.0
USER_588464b8d3,25,0,25,0.0
USER_a148871671,25,0,25,0.0
USER_42d2ab315f,25,4,21,0.16
USER_c83f28df34,25,0,25,0.0
USER_818689e7f8,25,0,25,0.0
USER_1127334bac,25,5,20,0.2
USER_5d563f45c5,25,7,18,0.28
USER_39875cad5d,25,4,21,0.16
