usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_c86dba6710,25,0,25,0.0
USER_81f8fca745,25,1,24,0.04
USER_8bdbb00a51,25,0,25,0.0
USER_26012210f2,25,0,25,0.0
USER_639d1aa44b,25,0,25,0.0
USER_96989cac74,25,0,25,0.0
USER_c7e4daa864,7,0,7,0.0
USER_940412dd99,25,0,25,0.0
USER_562c74e302,25,0,25,0.0
USER_f04e0af8ec,25,0,25,0.0
USER_dce7bb7bde,25,0,25,0.0
USER_8074ad9259,25,0,25,0.0
USER_9668ba5988,25,0,25,0.0
USER_69f2771e5a,25,0,25,0.0
USER_b34e81f23d,25,0,25,0.0
USER_8015687098,25,1,24,0.04
USER_42067acdbe,25,0,25,0.0
USER_df45642541,25,0,25,0.0
USER_6dd2910863,25,0,25,0.0
USER_04bed65f04,25,0,25,0.0
USER_3071896437,25,0,25,0.0
USER_f775d4a1b3,25,0,25,0.0
USER_ffe8a0b65e,25,1,24,0.04
USER_902d8b4cb4,25,0,25,0.0
USER_3525e7452e,25,1,24,0.04
USER_14bc296206,25,1,24,0.04
USER_7bcc2948f3,25,0,25,0.0
USER_5f5abea1d3,25,0,25,0.0
USER_2295310cb3,25,0,25,0.0
USER_7e18e9259c,25,0,25,0.0
USER_0adae1d993,25,0,25,0.0
USER_544e2919a9,25,0,25,0.0
USER_24a2d60ba5,25,0,25,0.0
USER_c0cc266184,25,0,25,0.0
USER_062708f434,25,0,25,0.0
USER_6da0729b01,25,0,25,0.0
USER_113b86a01a,7,0,7,0.0
USER_af341f0913,25,0,25,0.0
USER_9810b928ad,25,0,25,0.0
USER_77dea58e23,25,2,23,0.08
USER_99cbe03fea,25,0,25,0.0
USER_2c027f629c,25,0,25,0.0
USER_3d8c128932,25,1,24,0.04
USER_8e651ad54c,25,0,25,0.0
USER_6eb01dc4ad,25,0,25,0.0
USER_1fedaa3847,25,0,25,0.0
USER_a8828b22d7,25,0,25,0.0
USER_1ae29ac498,25,0,25,0.0
USER_bcee5e0a27,25,0,25,0.0
USER_77d3f98936,25,0,25,0.0
USER_0ea51f294f,25,0,25,0.0
USER_eb150c551a,25,0,25,0.0
USER_d9ce904ada,25,0,25,0.0
USER_1eedd959dc,25,0,25,0.0
USER_1596f52884,25,0,25,0.0
USER_eb9b716e41,25,0,25,0.0
USER_8286383177,25,0,25,0.0
USER_b0401d607d,25,0,25,0.0
USER_d8789c25ba,25,0,25,0.0
USER_f57347ee64,25,0,25,0.0
USER_69c4640d05,25,0,25,0.0
USER_0c38d2a7e9,25,0,25,0.0
USER_366faba070,25,1,24,0.04
USER_1b064d7c7b,25,0,25,0.0
USER_8dd21f5d55,25,0,25,0.0
USER_afac66ee5e,25,0,25,0.0
USER_8ca305ba2e,25,0,25,0.0
USER_40fe2f5cab,25,0,25,0.0
USER_fc02c76e33,25,0,25,0.0
USER_8d3bb2ead3,25,0,25,0.0
USER_0f30a3c942,25,0,25,0.0
USER_91157ff684,25,0,25,0.0
USER_0584dd47d7,25,0,25,0.0
USER_11f2adedb0,25,0,25,0.0
USER_a494d7cbd7,25,0,25,0.0
USER_2079289e2a,25,0,25,0.0
USER_372d30f350,25,0,25,0.0
USER_ad377ee523,25,0,25,0.0
USER_6afdffb7fb,25,0,25,0.0
USER_c6083673f2,25,0,25,0.0
USER_6431860c69,25,0,25,0.0
USER_6be2a3f8fd,25,1,24,0.04
USER_8ac9f0c9fe,25,1,24,0.04
USER_6a03315b60,25,0,25,0.0
USER_de6cf6f2c5,25,3,22,0.12
USER_e27700bccd,25,0,25,0.0
USER_aedf22506a,25,2,23,0.08
USER_067e3f7902,25,0,25,0.0
USER_5ac86cb93c,25,0,25,0.0
USER_665ffe9b0b,25,0,25,0.0
USER_9546279980,25,0,25,0.0
USER_6269eaa516,25,0,25,0.0
USER_485085925f,25,1,24,0.04
USER_aafc3878f7,25,0,25,0.0
USER_81cc740ca4,25,0,25,0.0
USER_5fe0fb8ccd,25,0,25,0.0
USER_ad1b3b355b,25,0,25,0.0
USER_0a07a7f5c6,25,0,25,0.0
USER_e98423547a,25,0,25,0.0
USER_0f5c0ca3ed,25,0,25,0.0
USER_8200a72e3d,25,0,25,0.0
USER_2b44288cab,25,0,25,0.0
USER_1c4167ada9,25,0,25,0.0
USER_74bae44c19,25,1,24,0.04
USER_84792f5a6b,25,3,22,0.12
USER_f890b5ffc7,25,0,25,0.0
USER_57987e748c,25,0,25,0.0
USER_bfeaf4cc6c,25,0,25,0.0
USER_a5ddc31653,25,0,25,0.0
USER_a47da5d11b,25,0,25,0.0
USER_a862042b1a,25,0,25,0.0
USER_b57722eca0,25,0,25,0.0
USER_2570739834,25,1,24,0.04
USER_737e718f48,25,0,25,0.0
USER_d2881dfc4d,25,0,25,0.0
USER_14fe277f3f,25,0,25,0.0
USER_5358a35be2,25,0,25,0.0
USER_25cc62a375,25,0,25,0.0
USER_679611e5d0,25,0,25,0.0
USER_87fbe613fe,25,0,25,0.0
USER_36f18b8d2b,25,0,25,0.0
USER_d329bba07a,25,0,25,0.0
USER_333518ff09,25,0,25,0.0
USER_8e3a3cbf23,25,0,25,0.0
USER_d4c7e873d1,25,0,25,0.0
USER_132e2b13de,25,1,24,0.04
USER_e72cc29c25,25,1,24,0.04
USER_0d165e964e,25,0,25,0.0
USER_93490e547d,25,0,25,0.0
USER_9254ad8139,25,0,25,0.0
USER_1aeb490823,25,0,25,0.0
USER_3b19794694,25,0,25,0.0
USER_a709cb7c00,25,0,25,0.0
USER_a7be97adba,25,2,23,0.08
USER_6b3d4aba42,25,0,25,0.0
USER_796ace2461,25,0,25,0.0
USER_9fe6a57689,25,0,25,0.0
USER_0ed6dfe367,25,0,25,0.0
USER_b1df75dd83,25,0,25,0.0
USER_5920c2f228,25,1,24,0.04
USER_4bab063938,25,1,24,0.04
USER_b7c9194ad1,25,0,25,0.0
USER_2205a0d5bc,25,0,25,0.0
USER_4458b1b0a1,25,3,22,0.12
USER_177b924bbb,25,0,25,0.0
USER_f16eeb81e9,25,0,25,0.0
USER_5fd96c631e,16,1,15,0.062
USER_389b73f15a,25,0,25,0.0
USER_80bdecc352,25,0,25,0.0
USER_7ca8360d3d,25,0,25,0.0
USER_bfecd87a8a,25,0,25,0.0
USER_3a21726dd3,25,0,25,0.0
USER_2e9113447a,25,0,25,0.0
USER_a8de3c3408,25,0,25,0.0
USER_f6bf20871f,25,0,25,0.0
USER_3453a14dc1,25,0,25,0.0
USER_a55e7df41c,25,0,25,0.0
USER_985690fb7d,25,0,25,0.0
USER_441c8407b3,25,0,25,0.0
USER_23a856631a,25,2,23,0.08
USER_8182d349b6,25,0,25,0.0
USER_3a8ba5c0b2,25,0,25,0.0
USER_b5f3d8e0d9,25,0,25,0.0
USER_52bf5f813e,25,0,25,0.0
USER_afca9c7f5c,25,0,25,0.0
