usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_97951906b4,25,0,25,0.0
USER_0633566b98,25,0,25,0.0
USER_84f08d9f9a,25,0,25,0.0
USER_57151917b8,25,4,21,0.16
USER_da6850beef,25,0,25,0.0
USER_e414c6ef05,25,1,24,0.04
USER_490ad703b5,25,0,25,0.0
USER_cd433475ae,25,0,25,0.0
USER_43ba81608c,25,0,25,0.0
USER_b1db306db4,25,0,25,0.0
USER_549a26a227,25,0,25,0.0
USER_2da43d42fb,25,1,24,0.04
USER_25632cf3ea,25,3,22,0.12
USER_a0fb93861e,25,0,25,0.0
USER_a2e6df80ce,25,0,25,0.0
USER_d5b488dd5f,25,0,25,0.0
USER_9eab62bfa4,25,0,25,0.0
USER_fa9efc2912,25,0,25,0.0
USER_2a7f64bb9c,25,0,25,0.0
USER_8db054d3cc,25,1,24,0.04
USER_f51ff3fd15,8,0,8,0.0
USER_96eb92c3a6,25,0,25,0.0
USER_3280619893,25,1,24,0.04
USER_c1fa4f1177,25,0,25,0.0
USER_f568f2681f,25,1,24,0.04
USER_4ce7384372,25,0,25,0.0
USER_aa482d9422,25,0,25,0.0
USER_6bccf2e98c,25,0,25,0.0
USER_e099f41cf8,25,0,25,0.0
USER_cb793b0a1c,25,1,24,0.04
USER_3dcb352439,25,0,25,0.0
USER_c0e97b2149,25,0,25,0.0
USER_ab0f4b986e,25,0,25,0.0
USER_3437aa8c20,25,0,25,0.0
USER_fc4aa5a9f4,25,2,23,0.08
USER_121663f71b,25,1,24,0.04
USER_b3edb15fa3,25,0,25,0.0
USER_960f2d2b8a,25,0,25,0.0
USER_981dd8399d,25,0,25,0.0
USER_62f842e57f,25,2,23,0.08
USER_320d5e987a,25,1,24,0.04
USER_2b397f11bf,25,0,25,0.0
USER_7436bf4ca5,25,0,25,0.0
USER_e931f9df34,25,0,25,0.0
USER_4b70975dfe,25,1,24,0.04
USER_f285f7f8a3,25,0,25,0.0
USER_1c6b083553,25,0,25,0.0
USER_71538ead09,25,0,25,0.0
USER_65f0b2c927,25,0,25,0.0
USER_926e99114d,25,0,25,0.0
USER_a8f07bbed3,25,0,25,0.0
USER_f000cbb80d,25,0,25,0.0
USER_a3201eb849,25,0,25,0.0
USER_53730e6262,25,1,24,0.04
USER_74b2afd8e1,25,0,25,0.0
USER_7fbeac988f,25,0,25,0.0
USER_9d9b485901,25,0,25,0.0
USER_b7c80e96a1,25,0,25,0.0
USER_089c8b96b2,25,0,25,0.0
USER_eb1f1e142d,25,4,21,0.16
USER_4d83317be1,25,0,25,0.0
USER_09c9409274,25,0,25,0.0
USER_bc4f3291bf,25,0,25,0.0
USER_d2546bad62,25,0,25,0.0
USER_d43dcaa8d5,25,0,25,0.0
USER_18d3356b29,25,0,25,0.0
USER_e98c34b072,25,0,25,0.0
USER_27291887ff,25,0,25,0.0
USER_ceff8fed90,25,0,25,0.0
USER_8c84dd40a8,25,0,25,0.0
USER_18813283b6,25,0,25,0.0
USER_fa2953c4b9,25,0,25,0.0
USER_9aec3ab941,25,0,25,0.0
USER_a6773b8bc6,25,0,25,0.0
USER_424c559123,25,0,25,0.0
USER_dd1a270840,25,0,25,0.0
USER_dc32370016,25,1,24,0.04
USER_f6e3d6b356,25,0,25,0.0
USER_55dc22f320,25,0,25,0.0
USER_f312a05a86,25,1,24,0.04
USER_2877406ffc,25,0,25,0.0
USER_42856b659b,25,1,24,0.04
USER_e3096654d1,25,0,25,0.0
USER_96e55b3621,25,0,25,0.0
USER_2ef201263e,25,0,25,0.0
USER_6847f56f9b,25,0,25,0.0
USER_b9d9f6beae,25,1,24,0.04
USER_29b270dbe4,25,0,25,0.0
USER_003a7dccfa,25,0,25,0.0
USER_7c017d24d5,25,2,23,0.08
