usuario,total_tweets,tweets_salud_mental,tweets_no_salud_mental,proporcion_salud_mental
USER_ac4ee729d1,25,0,25,0.0
USER_bfff7a2e10,25,0,25,0.0
USER_890bbcf931,25,0,25,0.0
USER_4f616324ba,25,0,25,0.0
USER_391ac582e5,25,0,25,0.0
USER_077e0d4e93,25,0,25,0.0
USER_357ea0eb25,25,1,24,0.04
USER_ffdd6ca0ea,25,0,25,0.0
USER_820640aa81,25,0,25,0.0
USER_665aadbfe6,25,1,24,0.04
USER_245cd86815,25,1,24,0.04
USER_d3fa0d8a29,25,0,25,0.0
USER_22eea3b2ab,25,0,25,0.0
USER_e18a6b8ddf,25,0,25,0.0
USER_89c028dd9e,25,0,25,0.0
USER_26b850d605,25,0,25,0.0
USER_c55bf295e9,25,0,25,0.0
USER_6a51fd01f7,25,0,25,0.0
USER_a4272cfe92,25,0,25,0.0
USER_0d4df11cbc,25,1,24,0.04
USER_fcd482e2bd,25,0,25,0.0
USER_2f4d3d6a69,25,0,25,0.0
USER_f7b1d6fe09,25,0,25,0.0
USER_7f15205836,25,0,25,0.0
USER_bb46bf9639,25,0,25,0.0
USER_6468112637,25,0,25,0.0
USER_7350bf2fd9,25,0,25,0.0
USER_769c8e4685,25,0,25,0.0
USER_bade9e89ef,25,0,25,0.0
USER_e2736cc817,25,0,25,0.0
USER_6cd5f52854,25,0,25,0.0
USER_cfef3d9feb,25,0,25,0.0
USER_ce8db995ad,25,0,25,0.0
USER_70183d68c1,25,0,25,0.0
USER_bfd9bfc977,25,0,25,0.0
USER_9af1b2ec37,25,0,25,0.0
USER_8079e820a0,25,0,25,0.0
USER_dfcff69851,25,0,25,0.0
USER_e16bf0abb4,25,0,25,0.0
USER_566f7bfcf3,25,0,25,0.0
USER_4bf1cd9c32,25,0,25,0.0
USER_2c96ae16bd,25,0,25,0.0
USER_888336d7cd,25,0,25,0.0
USER_86c719b43e,25,0,25,0.0
USER_adf114ea62,25,0,25,0.0
USER_d3f8cbf4d1,25,0,25,0.0
USER_1dc60d1719,25,0,25,0.0
USER_9a8607c1d0,25,0,25,0.0
USER_39582f74f2,25,0,25,0.0
USER_edfbf59b23,25,0,25,0.0
USER_78d2db9d4b,25,0,25,0.0
USER_aa0764a3bc,25,1,24,0.04
USER_1b1e7f1e2a,25,0,25,0.0
USER_5aefdebd3a,25,0,25,0.0
USER_c6962a3d21,25,2,23,0.08
USER_5a27f2bd2a,25,0,25,0.0
USER_4bf6f8726d,25,0,25,0.0
USER_23cc2ad483,25,0,25,0.0
USER_e1bf6885f4,25,0,25,0.0
USER_59972b38cc,25,0,25,0.0
USER_c29708a6ec,25,0,25,0.0
USER_c0dd918180,25,0,25,0.0
USER_7eb61ba3a6,25,0,25,0.0
USER_fa4e38bebd,25,0,25,0.0
USER_1680e9925f,18,0,18,0.0
USER_4ca7635637,9,0,9,0.0
USER_7c5b2b99c3,25,0,25,0.0
USER_bd7a1f026d,25,0,25,0.0
USER_62ac55ea60,25,0,25,0.0
USER_e539f7bd77,25,0,25,0.0
USER_7a8f65fd9e,25,0,25,0.0
USER_55259a2b19,25,0,25,0.0
USER_97da7ea1ae,1,0,1,0.0
USER_80f533ae92,25,0,25,0.0
USER_a348705d3d,25,0,25,0.0
USER_249166f992,25,0,25,0.0
USER_a475eeb585,25,0,25,0.0
USER_7fbeac988f,25,0,25,0.0
USER_9d9b485901,25,0,25,0.0
USER_b7c80e96a1,25,0,25,0.0
USER_65fc93a3fc,25,0,25,0.0
USER_f568f2681f,25,1,24,0.04
USER_7883480af5,25,1,24,0.04
USER_97951906b4,25,0,25,0.0
USER_8619e1a6ac,25,0,25,0.0
USER_d420324ae4,25,0,25,0.0
USER_536f1fef36,25,0,25,0.0
USER_04fc1fe404,25,0,25,0.0
USER_275c1fde9f,25,0,25,0.0
USER_fabf48a92b,25,0,25,0.0
USER_b9b5e0871a,25,1,24,0.04
USER_68aa257cf5,25,0,25,0.0
USER_8c0b542b59,25,0,25,0.0
USER_3c8a484b71,25,0,25,0.0
USER_5ae65804b5,25,0,25,0.0
USER_560b4e93fa,25,0,25,0.0
USER_c3938a54e4,25,0,25,0.0
USER_dca5220eda,21,0,21,0.0
USER_6b28cf06f0,25,0,25,0.0
USER_8cd2a29e5d,25,0,25,0.0
USER_04c13d83e6,25,1,24,0.04
USER_920102c8fd,25,0,25,0.0
USER_36802f8774,25,0,25,0.0
USER_8573ab447c,25,0,25,0.0
USER_206efcd46c,25,2,23,0.08
USER_624f5bc230,25,0,25,0.0
USER_702378742f,25,0,25,0.0
USER_e119072318,25,0,25,0.0
USER_d6291be0aa,25,0,25,0.0
USER_9f3700eab7,25,0,25,0.0
USER_8747974ec3,25,0,25,0.0
USER_d58504acfd,25,0,25,0.0
USER_feaac96197,25,0,25,0.0
USER_16e3a30776,25,0,25,0.0
USER_1744725d11,25,0,25,0.0
USER_cdc576f18c,23,1,22,0.043
USER_d8f402cfc4,25,0,25,0.0
USER_d439135792,25,2,23,0.08
USER_19393a861e,25,0,25,0.0
USER_10b448d2fc,25,0,25,0.0
USER_e2e441a94f,25,0,25,0.0
USER_587a92d554,25,0,25,0.0
USER_4aec5eb9cd,25,0,25,0.0
USER_85633914c5,25,2,23,0.08
USER_c5104c3f98,25,0,25,0.0
USER_8c28b2c528,25,0,25,0.0
USER_8c3599b8e5,25,2,23,0.08
USER_bc50c7dd74,25,0,25,0.0
USER_6604a76bd2,25,0,25,0.0
